Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
42	-200.0	0.0	-200.0	-200.0	200.0	-62.489742	0.0025003476	-62.47603	-62.49446	172000	0.0002238357	595.7117	0.0	-9.1552734e-05	1.0825124	8.0466267e-10	38.57592725753784
43	-200.0	0.0	-200.0	-200.0	200.0	-62.489655	0.0026773084	-62.474216	-62.49488	176000	0.0013987733	595.7063	0.0	-6.1035156e-05	1.081784	-8.1956386e-10	39.61480903625488
44	-200.0	0.0	-200.0	-200.0	200.0	-62.489616	0.0025056486	-62.477863	-62.494553	180000	-0.00012788689	595.7103	0.0	0.0	1.0812366	-2.2351737e-10	40.50103831291199
45	-200.0	0.0	-200.0	-200.0	200.0	-62.489452	0.0028490073	-62.47805	-62.494392	184000	-0.0007101819	595.7095	0.0	-1.5258789e-05	1.0807315	1.4901164e-11	41.4407103061676
46	-200.0	0.0	-200.0	-200.0	200.0	-62.48972	0.002160929	-62.478546	-62.49442	188000	-5.5679644e-05	595.70605	0.0	-4.5776367e-05	1.0801535	-7.0035455e-10	42.28270864486694
47	-200.0	0.0	-200.0	-200.0	200.0	-62.489693	0.0022885983	-62.478424	-62.494255	192000	0.00071989675	595.71735	0.0	-0.00016784668	1.0796268	-6.109476e-10	43.106284618377686
48	-200.0	0.0	-200.0	-200.0	200.0	-62.489468	0.0026760893	-62.476078	-62.49508	196000	-0.004102489	595.7141	0.0	-0.0001373291	1.079236	-5.215407e-10	43.97889447212219
49	-200.0	0.0	-200.0	-200.0	200.0	-62.489773	0.0023828365	-62.478416	-62.49512	200000	0.0002489549	595.7077	0.0	-1.5258789e-05	1.0784589	-2.682209e-10	44.81156516075134
50	-200.0	0.0	-200.0	-200.0	200.0	-62.489796	0.0025455598	-62.477253	-62.494316	204000	-0.0009140959	595.7129	0.0	-9.1552734e-05	1.0777404	-4.172325e-09	45.76315093040466
51	-200.0	0.0	-200.0	-200.0	200.0	-62.489788	0.0023865085	-62.47715	-62.494675	208000	-0.0056438656	595.7036	0.0	-0.00062561035	1.0769764	-1.4454127e-09	46.58055853843689
