Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
48	45.92683	27.991627	188.0	12.0	45.92683	27.642933	11.448118	41.89103	-0.9530571	196000	-0.042615775	189.39339	0.0	-17.383547	0.6510451	-2.4586916e-10	34.42227125167847
49	43.05618	22.273256	137.0	10.0	43.05618	24.788713	11.797027	43.355103	-0.48482186	200000	-0.04903175	164.84708	0.0	-16.097857	0.64588785	1.862645e-10	35.12635660171509
50	49.628204	27.253372	185.0	11.0	49.628204	23.972403	10.601397	38.046463	1.5724897	204000	-0.037357524	163.71143	0.0	-11.9686775	0.6490501	-8.940697e-10	35.77306580543518
51	44.741177	25.160263	155.0	9.0	44.741177	25.204483	11.171485	39.879555	1.187269	208000	-0.049329285	168.01831	0.0	-9.3756695	0.6424272	-1.192093e-10	36.47802233695984
52	51.092106	30.22424	180.0	13.0	51.092106	25.4609	10.420593	37.739525	-0.30577508	212000	-0.043855056	204.79123	0.0	-22.524551	0.6415963	-5.438924e-10	37.17192316055298
53	63.85	44.72316	215.0	15.0	63.85	26.64965	11.262856	39.37704	0.25477645	216000	-0.027955998	381.9264	0.0	-103.139175	0.64639956	4.2468307e-10	37.841103076934814
54	49.0	26.826605	168.0	15.0	49.0	32.18169	14.604786	50.009342	1.3009773	220000	-0.04531406	226.80597	0.0	-59.227634	0.64084935	1.0803343e-09	38.555704832077026
55	52.863014	30.620665	157.0	11.0	52.863014	27.852573	11.428213	43.88392	0.7383577	224000	-0.04097253	193.36267	0.0	-12.120892	0.6396912	6.631017e-10	39.250160217285156
56	54.47222	31.192938	150.0	18.0	54.47222	26.601597	12.466249	44.978657	0.6511021	228000	-0.04051947	207.21593	0.0	-24.131365	0.64127064	-9.536744e-10	39.952075242996216
57	50.311687	25.017532	105.0	15.0	50.311687	28.718363	12.09181	44.346973	0.7534555	232000	-0.04824052	147.30182	0.0	-17.30933	0.6380133	5.140901e-10	40.64211893081665
58	52.039474	31.47281	207.0	12.0	52.039474	25.331078	11.693186	41.575024	-0.17478609	236000	-0.045839407	211.60426	0.0	-22.478128	0.6381442	9.387732e-10	41.34113574028015
59	53.98611	25.255083	123.0	14.0	53.98611	26.329948	11.598964	45.342144	-0.3160994	240000	-0.047491416	155.10184	0.0	-13.635422	0.63692075	-6.705522e-10	42.06187605857849
60	54.7	33.902107	159.0	14.0	54.7	27.208511	11.561757	46.259293	0.5516795	244000	-0.042523086	240.03473	0.0	-19.279022	0.63321495	1.7806887e-09	42.71311402320862
61	51.894737	27.43345	135.0	16.0	51.894737	27.875032	11.680766	44.386505	0.96016335	248000	-0.049714055	149.03607	0.0	-4.3519077	0.63344616	3.5762787e-10	43.400086879730225
62	56.652172	28.704302	146.0	14.0	56.652172	27.584837	11.7021885	42.615593	0.98937845	252000	-0.04104909	177.51718	0.0	-6.423376	0.6319957	2.1606683e-10	44.07943511009216
63	57.880596	31.952635	130.0	12.0	57.880596	28.966522	11.616533	43.42177	0.13700303	256000	-0.044393107	189.60019	0.0	-18.157814	0.6314331	-5.885959e-10	44.72041058540344
64	57.02941	34.45456	168.0	14.0	57.02941	29.80155	12.755633	46.73327	0.019766778	260000	-0.039394993	237.67067	0.0	-22.68145	0.6322298	1.0430813e-09	45.802470684051514
65	57.75	32.553745	163.0	17.0	57.75	28.72699	12.572883	45.38652	0.6884664	264000	-0.04584708	211.68188	0.0	-18.45377	0.6286677	-9.611248e-10	46.61240768432617
66	55.608696	29.180208	195.0	20.0	55.608696	26.73953	13.218702	45.063652	0.60247064	268000	-0.04402344	203.50409	0.0	-35.951088	0.6320381	-1.3411046e-09	47.284372091293335
67	63.65574	36.92566	208.0	20.0	63.65574	29.958004	11.265647	44.50244	0.15358442	272000	-0.043117262	236.24684	0.0	-28.29401	0.62942785	-3.7252923e-11	47.98915076255798
68	57.84375	33.267487	157.0	15.0	57.84375	29.52499	13.580192	46.508774	0.143415	276000	-0.047275618	249.26764	0.0	-32.01545	0.6305119	-6.556511e-10	48.65259146690369
69	66.45614	40.564034	212.0	18.0	66.45614	33.507717	13.894285	50.642216	0.9539085	280000	-0.04089509	252.6459	0.0	-31.548653	0.6302409	5.736947e-10	49.37870979309082
70	69.16071	32.475143	147.0	14.0	69.16071	32.135452	15.094471	51.198692	0.5586614	284000	-0.046436697	246.68784	0.0	-35.124798	0.626166	4.991889e-10	50.081820249557495
71	61.174603	28.28738	152.0	17.0	61.174603	32.15539	12.241815	46.07546	1.0914155	288000	-0.059602726	184.63306	0.0	-18.216715	0.62593997	6.705523e-10	50.76174712181091
72	68.350876	35.403187	149.0	13.0	68.350876	30.288403	11.527108	44.77189	0.24099213	292000	-0.049261324	209.4786	0.0	-17.737644	0.6274505	3.054738e-10	51.47639226913452
73	67.36207	42.66417	222.0	14.0	67.36207	33.157665	13.063702	48.4782	0.96105975	296000	-0.052806355	251.59126	0.0	-17.996346	0.6228301	-1.862645e-10	52.18177151679993
74	56.68182	29.240982	193.0	15.0	56.68182	31.069633	15.016233	49.792652	0.6578249	300000	-0.05433191	226.3532	0.0	-34.176235	0.61911225	-8.195644e-11	52.92664551734924
75	70.81481	38.76428	167.0	17.0	70.81481	29.783329	12.104819	46.060917	0.15673226	304000	-0.045760117	294.67758	0.0	-47.01003	0.62269235	9.1642144e-10	53.619369983673096
76	73.754715	39.24952	184.0	17.0	73.754715	34.44792	12.5463085	49.685284	0.7459587	308000	-0.05307581	260.46985	0.0	-25.96202	0.6244953	9.089708e-10	54.34460735321045
77	74.98039	45.357616	202.0	19.0	74.98039	34.806675	13.453937	51.14893	1.4372461	312000	-0.054573193	314.97348	0.0	-44.87226	0.6221474	1.3634562e-09	55.08484888076782
78	86.47727	61.63805	262.0	12.0	86.47727	35.327374	14.009619	52.164886	0.511395	316000	-0.05072353	489.01855	0.0	-150.99457	0.6207741	2.2351743e-10	55.75679302215576
79	91.59524	46.635906	217.0	21.0	91.59524	42.69514	14.359958	61.00551	0.8965896	320000	-0.05249459	323.00006	0.0	-68.97461	0.62087154	-2.9057262e-10	56.472245931625366
80	64.355934	34.834602	147.0	17.0	64.355934	39.70645	15.792357	58.160698	-0.03074199	324000	-0.06250203	277.19214	0.0	-73.44017	0.6159027	1.1920929e-09	57.185173749923706
81	66.82758	35.681126	157.0	14.0	66.82758	31.295277	13.2106285	51.524307	0.68871254	328000	-0.06896399	237.80368	0.0	-21.202644	0.6151242	-2.2351743e-10	57.84174203872681
82	85.977776	57.34476	270.0	19.0	85.977776	33.330853	11.602908	48.843376	0.9025423	332000	-0.053001598	428.71643	0.0	-107.994385	0.62007344	3.725298e-11	58.495344161987305
83	84.08696	37.463505	167.0	18.0	84.08696	36.985992	15.06044	58.251812	-1.0299196	336000	-0.055495676	300.19833	0.0	-68.99434	0.61852646	4.5448542e-10	59.203067779541016
84	80.702126	43.02296	202.0	19.0	80.702126	38.86351	11.43102	52.608734	3.0877976	340000	-0.054814827	294.65363	0.0	-41.82275	0.61165416	-5.5134297e-10	59.88400721549988
85	101.51282	54.995514	306.0	30.0	101.51282	35.83364	15.215674	55.51623	1.2407067	344000	-0.041897364	371.75372	0.0	-103.34833	0.6190771	8.7916846e-10	60.53966450691223
86	94.46342	57.543663	256.0	21.0	94.46342	44.71022	14.6789055	62.83005	4.484466	348000	-0.050915234	392.8459	0.0	-65.96885	0.6191547	6.0349703e-10	61.28194832801819
87	89.47619	45.62541	245.0	20.0	89.47619	38.360485	15.523045	58.776672	0.24234939	352000	-0.059705418	295.09625	0.0	-56.297874	0.61645925	-1.5869738e-09	62.02517795562744
88	112.882355	60.176582	288.0	20.0	112.882355	39.65925	14.801265	60.786274	3.5003195	356000	-0.051535852	412.53094	0.0	-113.93219	0.6166437	7.3015693e-10	62.69984745979309
89	97.23684	58.776756	246.0	17.0	97.23684	46.154522	15.710986	65.64553	3.4712152	360000	-0.06276895	384.84247	0.0	-57.581352	0.6143125	8.717179e-10	63.41859793663025
90	92.0	50.504597	246.0	13.0	92.0	45.195805	14.22426	62.04004	4.6864614	364000	-0.060298175	328.16116	0.0	-52.51416	0.61242044	6.1839817e-10	64.10908365249634
91	95.15385	50.869637	266.0	23.0	95.15385	38.772614	15.489469	56.094223	0.40689266	368000	-0.058632433	380.64117	0.0	-78.44462	0.6122509	-1.2665985e-10	64.75696873664856
92	95.3	46.236458	218.0	19.0	95.3	43.062935	14.698934	60.29468	1.3390682	372000	-0.06084735	307.0766	0.0	-50.92356	0.6082473	1.2069941e-09	65.4577808380127
93	99.97222	51.092773	245.0	25.0	99.97222	40.713123	14.054379	57.825565	-0.07667112	376000	-0.056706324	275.9118	0.0	-50.165257	0.61110365	1.5348196e-09	66.14620566368103
94	113.15151	60.0677	260.0	36.0	113.15151	44.108303	16.779755	66.78634	2.4352472	380000	-0.06140835	274.7976	0.0	-31.307705	0.6116351	-1.6763806e-09	66.7982964515686
95	102.5	59.212658	247.0	11.0	102.5	46.654316	18.201462	68.531845	1.8637137	384000	-0.06086473	383.05246	0.0	-82.09655	0.60740626	-1.2591481e-09	67.48267102241516
96	96.02631	55.179367	241.0	19.0	96.02631	41.091564	17.720987	63.62772	1.2240684	388000	-0.06267834	400.7428	0.0	-79.81737	0.6086437	-8.1956386e-10	68.17039513587952
97	129.21428	67.39773	278.0	21.0	129.21428	43.622936	16.112177	63.58443	-1.6349373	392000	-0.050617293	493.61224	0.0	-116.46422	0.6112322	-2.9057268e-10	68.89728808403015
98	135.48148	70.84797	291.0	15.0	135.48148	50.678383	16.792683	70.643715	5.8122263	396000	-0.050323218	354.11694	0.0	-64.41234	0.6085204	-5.215406e-11	69.551260471344
99	114.30303	66.68628	297.0	24.0	114.30303	53.88549	16.758549	72.12252	3.0262876	400000	-0.047923975	447.88345	0.0	-106.716484	0.6088918	-5.215406e-10	70.25274109840393
100	117.96875	63.390892	271.0	20.0	117.96875	47.342453	15.86743	67.15291	4.097945	404000	-0.06482072	363.07236	0.0	-64.153824	0.6048796	7.9721213e-10	71.00082540512085
