Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
43	-35.468307	1.278008	-33.54149	-37.016823	999.0	-3.113628	0.1833541	-2.1980238	-3.2364342	176000	-0.09263008	0.6411426	0.0	-0.010831848	0.9067196	-2.2351743e-09	30.808491468429565
44	-35.412937	0.86008936	-34.432274	-36.55163	999.0	-3.1618667	0.3350078	-1.2224373	-3.3536665	180000	-0.075084776	0.62145686	0.0	-0.044253714	0.9064276	-6.4820055e-10	31.462107181549072
45	-35.527306	1.0946537	-34.384727	-37.33455	999.0	-3.2366617	0.076831214	-2.8080268	-3.319893	184000	-0.08156942	0.5222369	0.0	-0.014524452	0.9061387	2.6449563e-09	32.14288353919983
46	-36.320564	1.1469837	-34.683666	-37.429535	999.0	-3.188977	0.17878236	-2.342868	-3.364801	188000	-0.082277745	0.5830616	0.0	-0.0091272965	0.9058497	-1.0728836e-09	32.85404682159424
47	-33.50392	1.923368	-31.436396	-35.96975	999.0	-3.3279986	0.08574048	-2.843584	-3.4085226	192000	-0.08830639	0.65139693	0.0	-0.09528391	0.905562	-2.8312203e-10	33.486358642578125
48	-36.36207	1.1695776	-34.837395	-38.117775	999.0	-2.9730053	0.16380978	-2.1318464	-3.1618743	196000	-0.09419063	0.62788063	0.0	-0.1134949	0.90527296	6.0349703e-10	34.13617396354675
49	-36.04483	0.7168743	-35.186573	-36.886463	999.0	-3.1242754	0.451298	-0.7047932	-3.549191	200000	-0.08208144	0.6579703	0.0	-0.052252084	0.90498006	2.9057273e-10	34.83168053627014
50	-35.478844	1.1810207	-33.454247	-36.424194	999.0	-3.3408608	0.14249341	-2.4511447	-3.508917	204000	-0.08442549	0.59677356	0.0	-0.03497813	0.90468895	-9.0152025e-10	35.49423813819885
51	-35.225685	1.4435964	-33.60569	-37.088123	999.0	-3.2196395	0.21980663	-1.9903544	-3.418199	208000	-0.083509825	0.5707114	0.0	-0.014282912	0.9043976	4.61936e-10	36.18418335914612
52	-35.72033	0.7679667	-34.530216	-36.4508	999.0	-3.1202981	0.34099242	-1.501358	-3.4200075	212000	-0.06358145	0.58213425	0.0	-0.05326031	0.9041063	1.0281802e-09	36.85354971885681
53	-33.963085	2.6421611	-31.485586	-38.104557	999.0	-3.2258554	0.18123172	-2.259741	-3.3646016	216000	-0.08252697	0.6194098	0.0	-0.03934229	0.90382135	-1.2889505e-09	37.57096219062805
54	-37.391247	1.1899989	-35.903496	-38.786625	999.0	-3.0162606	0.23901516	-1.9198848	-3.2303293	220000	-0.103808716	0.73149747	0.0	-0.11961664	0.90353614	-2.4139881e-09	38.20325756072998
55	-36.977913	1.0491683	-35.48347	-38.449425	999.0	-3.3638499	0.14857844	-2.7157056	-3.5058947	224000	-0.1004296	0.7339426	0.0	-0.01413314	0.9032446	-2.5331975e-10	38.88431191444397
56	-34.915413	2.6747708	-32.39071	-39.19304	999.0	-3.355602	0.24508964	-2.172168	-3.5765793	228000	-0.08790614	0.782839	0.0	-0.04884783	0.9029486	1.0430812e-10	39.5763418674469
57	-35.821968	0.8202698	-34.86201	-37.12694	999.0	-3.1577725	0.20898238	-2.0540667	-3.3056855	232000	-0.112998575	0.72342324	0.0	-0.008983195	0.9026527	-8.4936613e-10	40.20259928703308
58	-35.925262	1.0344357	-34.393486	-37.272636	999.0	-3.2697525	0.15121445	-2.4352179	-3.3823607	236000	-0.09959428	0.7573592	0.0	-0.012526572	0.90234905	-4.61936e-10	40.89551115036011
59	-34.604927	0.31157303	-34.206394	-35.01625	999.0	-3.2105644	0.1181937	-2.664382	-3.2985847	240000	-0.10283019	0.6218668	0.0	-0.04353828	0.90204245	-3.5762787e-10	41.56216740608215
60	-35.06536	0.62739307	-34.224575	-35.855824	999.0	-3.0606651	0.24062039	-2.1065626	-3.3311832	244000	-0.082546346	0.6774411	0.0	-0.025057606	0.901733	-7.4505846e-11	42.22352743148804
61	-35.831	1.4601011	-33.565994	-37.431034	999.0	-3.1791017	0.13711128	-2.3126109	-3.2820385	248000	-0.08815153	0.58281755	0.0	-0.016081922	0.90142584	1.1101364e-09	42.95347023010254
62	-36.187977	0.8409687	-34.84446	-37.048737	999.0	-3.1726456	0.25259998	-2.1811152	-3.392304	252000	-0.09357405	0.59192586	0.0	-0.015770242	0.9011193	1.4677644e-09	43.656787157058716
63	-36.25126	0.73588794	-35.22658	-37.23704	999.0	-3.3501952	0.19789028	-2.5035655	-3.5402458	256000	-0.084305234	0.6822859	0.0	-0.007391408	0.9008124	-5.9604655e-11	44.28922414779663
64	-35.974144	0.92516434	-34.558784	-37.140804	999.0	-3.2711728	0.1773053	-2.4322944	-3.4585438	260000	-0.09366356	0.6234613	0.0	-0.00337632	0.9005074	4.6193604e-10	45.04155969619751
65	-35.325745	1.3482504	-33.75125	-37.461975	999.0	-3.1877012	0.26204804	-2.155893	-3.4250202	264000	-0.0730117	0.52863276	0.0	-0.016561449	0.90020174	2.361834e-09	45.744680643081665
66	-36.247627	1.9716272	-32.843452	-37.607403	999.0	-3.2331111	0.1690337	-2.196715	-3.366502	268000	-0.10502877	0.5988302	0.0	-0.011044234	0.8999005	-1.3560056e-09	46.414804458618164
67	-35.07042	0.5581804	-34.449787	-35.95576	999.0	-3.3146372	0.07995538	-2.866355	-3.420797	272000	-0.08671656	0.5220895	0.0	-0.054605164	0.89959526	-2.235176e-11	47.12463593482971
68	-35.38305	0.6599786	-34.717224	-36.468124	999.0	-3.2021773	0.1614253	-2.3903193	-3.3804622	276000	-0.07242105	0.62979627	0.0	-0.021812938	0.8992915	1.2814999e-09	47.818679332733154
69	-34.585503	0.5470189	-34.140984	-35.496105	999.0	-3.1961982	0.06868749	-2.8290884	-3.2797472	280000	-0.08404741	0.55506784	0.0	-0.021404482	0.8989921	-1.1622906e-09	48.46146488189697
70	-35.384354	0.9801283	-34.064537	-36.7386	999.0	-2.954964	0.44616404	-0.58254975	-3.3108056	284000	-0.0711851	0.6933191	0.0	-0.14103413	0.8986944	7.6740986e-10	49.163278579711914
71	-34.619728	1.8262491	-32.08846	-36.54485	999.0	-3.183003	0.09519719	-2.6499317	-3.2672336	288000	-0.09353055	0.5807293	0.0	-0.006212741	0.89840096	1.7136337e-10	49.80837273597717
72	-35.756355	0.5747158	-35.355278	-36.746147	999.0	-3.0955465	0.16183868	-2.3311698	-3.2336757	292000	-0.09368243	0.6740731	0.0	-0.021167323	0.8981059	-1.6465784e-09	50.427228689193726
73	-34.48925	2.6318145	-31.259464	-38.10412	999.0	-3.297272	0.10097385	-2.7317972	-3.3717527	296000	-0.09104413	0.587832	0.0	-0.037967265	0.8978085	-1.5422702e-09	51.15967559814453
74	-35.152016	1.390565	-33.32235	-37.117916	999.0	-3.0510175	0.15638858	-2.2596586	-3.1799922	300000	-0.090193376	0.5362463	0.0	-0.068245396	0.89751035	1.266599e-10	51.82372307777405
75	-35.000664	0.6460596	-33.981277	-35.774868	999.0	-3.2185097	0.38711768	-1.3449931	-3.5352018	304000	-0.079812504	0.6492177	0.0	-0.057984233	0.8972111	-1.2665988e-10	52.4667181968689
76	-35.433167	0.44897705	-35.024586	-36.19135	999.0	-3.1744807	0.091505766	-2.7147799	-3.249436	308000	-0.08670397	0.56291723	0.0	-0.005450852	0.896914	1.8179417e-09	53.15257477760315
77	-34.96444	1.2458261	-33.683914	-36.94455	999.0	-3.152368	0.13648127	-2.4806867	-3.2837462	312000	-0.09881214	0.6662176	0.0	-0.008288264	0.8966177	1.266599e-10	53.83876132965088
78	-34.80293	0.9827521	-33.716713	-36.178185	999.0	-3.2007205	0.14774933	-2.2708135	-3.3235397	316000	-0.089649364	0.5885327	0.0	-0.004926197	0.8963179	3.106892e-09	54.49551272392273
79	-36.025673	0.83653253	-34.639736	-36.718803	999.0	-3.0552564	0.32931396	-1.5169636	-3.2734907	320000	-0.09512962	0.6562262	0.0	-0.07824461	0.89601743	1.2591481e-09	55.162720918655396
80	-34.84417	1.1613448	-33.80846	-36.74974	999.0	-3.2350254	0.1474681	-2.3612707	-3.3501353	324000	-0.08959315	0.5560585	0.0	-0.018746957	0.8957154	-9.685754e-10	55.83186340332031
81	-34.33185	1.2931173	-33.15806	-36.41193	999.0	-3.1466465	0.105376825	-2.4856238	-3.2314305	328000	-0.09916332	0.5570408	0.0	-0.06790181	0.8954127	9.0897084e-10	56.465370893478394
82	-35.649372	2.1262236	-33.036327	-37.74891	999.0	-3.0150144	0.4708743	-1.2723948	-3.410001	332000	-0.06741342	0.6297915	0.0	-0.1222001	0.8951075	1.6465783e-09	57.161548137664795
83	-34.997112	1.2827868	-33.595604	-37.071342	999.0	-3.1808884	0.206499	-2.2995236	-3.3783753	336000	-0.0837632	0.5878408	0.0	-0.007393673	0.89480996	3.874302e-10	57.83043169975281
84	-34.204155	1.1567764	-32.946377	-36.09371	999.0	-3.2374642	0.07543423	-2.9526117	-3.3027673	340000	-0.09068979	0.58135283	0.0	-0.07190199	0.8945126	-6.92904e-10	58.4629693031311
85	-34.481495	0.998821	-33.303654	-35.998062	999.0	-2.9570172	0.39292762	-1.4560739	-3.29827	344000	-0.055052213	0.6001619	0.0	-0.1413384	0.89421475	-5.8114535e-10	59.17613101005554
86	-34.87954	1.6958282	-32.053925	-36.25834	999.0	-3.1172304	0.069616884	-2.4329002	-3.168925	348000	-0.064971045	0.45527056	0.0	-0.028994754	0.8939266	-8.1956386e-11	59.861114263534546
87	-36.1788	0.8773001	-34.81643	-37.25961	999.0	-3.1977441	0.14735404	-2.3154864	-3.3479989	352000	-0.08215164	0.7080837	0.0	-0.035866812	0.8936441	9.462238e-10	60.501298904418945
88	-34.629005	1.7814628	-32.86153	-37.133575	999.0	-3.2268658	0.037805308	-2.9153736	-3.273563	356000	-0.09057122	0.6425167	0.0	-0.011480272	0.8933622	-2.3841856e-10	61.188570976257324
89	-34.843376	1.4371991	-33.868816	-37.325863	999.0	-3.1369395	0.026477052	-2.9680023	-3.1712337	360000	-0.083283216	0.5595553	0.0	-0.013325691	0.8930776	-1.9297004e-09	61.889219999313354
90	-34.81022	0.52390236	-34.22617	-35.510582	999.0	-3.1367652	0.079071306	-2.729061	-3.2075083	364000	-0.08043955	0.46876702	0.0	-0.022773214	0.8927924	5.8859584e-10	62.50264549255371
91	-35.713985	0.40186116	-35.077538	-36.158203	999.0	-3.1729193	0.15530296	-2.421255	-3.2859035	368000	-0.08396268	0.605933	0.0	-0.008807883	0.89250815	1.6391277e-09	63.24926567077637
92	-34.627033	1.5600508	-32.219646	-36.081432	999.0	-3.1260948	0.21074003	-2.026281	-3.3139489	372000	-0.07973923	0.58830893	0.0	-0.012220949	0.89222324	1.3262034e-09	64.60258364677429
93	-34.88488	1.3189992	-32.895813	-36.582893	999.0	-3.1613824	0.0542412	-2.8102915	-3.2055454	376000	-0.08356057	0.55951667	0.0	-0.0019584075	0.8919399	1.013279e-09	65.2956931591034
94	-34.494705	1.1789191	-32.737576	-35.7974	999.0	-3.089039	0.1267665	-2.5274804	-3.2249444	380000	-0.09469757	0.5845072	0.0	-0.010582	0.8916556	1.5124678e-09	65.96227502822876
95	-34.7821	1.5721049	-32.44995	-36.866245	999.0	-3.1602092	0.025488766	-3.015278	-3.1847198	384000	-0.08517782	0.597602	0.0	-0.11150762	0.8913682	3.1292438e-10	66.67168164253235
96	-33.74194	1.8089625	-32.039825	-36.757442	999.0	-3.0561504	0.30883282	-1.34781	-3.3298886	388000	-0.06789178	0.61823326	0.0	-0.089592755	0.8910792	1.7508863e-09	67.30913662910461
97	-35.57171	1.2620963	-34.02357	-37.343613	999.0	-3.0784783	0.026989585	-2.7833369	-3.1142354	392000	-0.077266	0.53913236	0.0	-0.020525776	0.8907963	-1.0654331e-09	67.97723436355591
98	-35.12267	0.6664961	-34.17491	-35.95046	999.0	-3.130529	0.28762028	-0.8540958	-3.257185	396000	-0.082565166	0.6134244	0.0	-0.058691777	0.8905142	-9.015203e-10	68.66875958442688
99	-34.65222	0.75090593	-33.516903	-35.625267	999.0	-3.2059157	0.052415147	-2.9687374	-3.2645323	400000	-0.07526292	0.5189461	0.0	-0.011693507	0.8902323	1.2144447e-09	69.31223773956299
100	-35.117554	0.8509914	-33.84996	-35.981472	999.0	-3.0963047	0.1094562	-2.3321931	-3.1773534	404000	-0.07775013	0.5337261	0.0	-0.014862999	0.88995165	-2.8312205e-10	70.0149142742157
101	-35.29152	0.93994427	-33.919666	-36.42281	999.0	-3.1737616	0.21650025	-1.8556225	-3.2970018	408000	-0.100330725	0.68601084	0.0	-0.058204338	0.88967174	-1.7881394e-10	70.71599674224854
